City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Bluff,93,NZ,1603217426,92,-46.6,168.33,41.0,1.99
1,São João da Barra,75,BR,1603217426,65,-21.64,-41.05,78.8,16.11
2,Ushuaia,40,AR,1603217130,60,-54.8,-68.3,42.8,20.8
3,Ponta do Sol,18,CV,1603217426,52,17.2,-25.09,89.6,20.8
4,High Level,40,CA,1603217366,100,58.52,-117.14,12.2,2.24
5,Victoria,20,SC,1603217173,74,-4.62,55.45,82.4,5.82
6,La Ronge,90,CA,1603217141,63,55.1,-105.28,26.6,3.36
7,Nerchinskiy Zavod,100,RU,1603217426,97,51.31,119.61,31.6,3.6
8,Vrangel',1,RU,1603217426,84,42.73,133.08,53.74,5.48
9,Souillac,20,MU,1603217135,73,-20.52,57.52,75.2,11.41
10,Sfântu Gheorghe,0,RO,1603217302,84,45.87,25.78,43.0,1.77
11,Komsomol'skiy,96,RU,1603217426,60,43.98,46.7,55.35,3.2
12,Albany,90,AU,1603217427,87,-35.02,117.89,57.2,5.82
13,Raudeberg,75,NO,1603217427,87,61.99,5.14,44.6,18.34
14,Vaini,40,TO,1603217427,77,-21.2,-175.2,69.8,9.17
15,Nikolskoye,75,RU,1603217152,89,59.7,30.79,37.0,4.47
16,Hermanus,0,ZA,1603217427,72,-34.42,19.23,57.0,5.01
17,Qaanaaq,0,GL,1603217134,84,77.48,-69.36,22.08,7.38
18,Prince Rupert,90,CA,1603217398,93,54.32,-130.32,42.8,8.05
19,New Norfolk,100,AU,1603217428,70,-42.78,147.06,51.01,1.01
20,Kerema,100,PG,1603217428,87,-7.96,145.78,77.92,5.01
21,Songkhla,75,TH,1603217428,100,6.83,100.67,78.8,0.67
22,Havøysund,75,NO,1603217150,77,71.0,24.66,32.0,4.7
23,Leningradskiy,89,RU,1603217160,89,69.38,178.42,33.08,10.8
24,Chui,97,UY,1603217428,80,-33.7,-53.46,55.87,16.4
25,Óbidos,69,BR,1603217428,37,-1.92,-55.52,96.17,9.06
26,Adrar,0,DZ,1603217429,24,25.75,-1.0,80.33,7.9
27,Te Anau,27,NZ,1603217353,90,-45.42,167.72,34.07,1.05
28,Hilo,20,US,1603217394,68,19.73,-155.09,77.0,9.17
29,Clyde River,1,CA,1603217429,88,70.47,-68.59,32.0,21.92
30,Punta Arenas,75,CL,1603217401,45,-53.15,-70.92,48.2,20.8
31,Talnakh,75,RU,1603217429,84,69.49,88.4,8.6,4.47
32,Bethel,90,US,1603217429,88,41.37,-73.41,68.0,6.93
33,Skellefteå,75,SE,1603217429,100,64.75,20.95,23.0,3.36
34,Newport,90,US,1603217429,93,41.49,-71.31,64.0,8.05
35,Pangnirtung,90,CA,1603217269,68,66.15,-65.71,30.2,6.29
36,Thompson,90,CA,1603217153,68,55.74,-97.86,28.4,3.36
37,Praia,99,CV,1603217186,59,14.92,-23.51,89.6,13.87
38,Dunedin,100,NZ,1603217430,86,-45.87,170.5,48.0,4.94
39,Margate,80,ZA,1603217430,66,-30.86,30.37,68.18,13.33
40,Chokurdakh,96,RU,1603217136,97,70.63,147.92,13.96,2.08
41,Cape Town,0,ZA,1603217430,62,-33.93,18.42,60.01,14.99
42,Pitimbu,40,BR,1603217430,55,-7.47,-34.81,86.0,14.99
43,Waddān,7,LY,1603217159,42,29.16,16.14,71.55,10.42
44,Hithadhoo,81,MV,1603217200,76,-0.6,73.08,83.07,10.25
45,Pogar,82,RU,1603217430,74,52.55,33.26,40.32,9.1
